,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.3182,Thu Jun 07 12:42:48 +0000 2018,0.881,0.119,0.0,1,@BBC
1,0.0,Thu Jun 07 12:42:21 +0000 2018,1.0,0.0,0.0,2,@BBC
2,-0.6523,Thu Jun 07 12:42:04 +0000 2018,0.797,0.203,0.0,3,@BBC
3,-0.4767,Thu Jun 07 12:41:54 +0000 2018,0.717,0.195,0.089,4,@BBC
4,0.0,Thu Jun 07 12:41:37 +0000 2018,1.0,0.0,0.0,5,@BBC
5,0.8356,Thu Jun 07 12:40:53 +0000 2018,0.612,0.0,0.388,6,@BBC
6,0.5267,Thu Jun 07 12:39:34 +0000 2018,0.871,0.0,0.129,7,@BBC
7,0.0,Thu Jun 07 12:38:12 +0000 2018,1.0,0.0,0.0,8,@BBC
8,-0.4767,Thu Jun 07 12:37:01 +0000 2018,0.819,0.181,0.0,9,@BBC
9,-0.6523,Thu Jun 07 12:36:32 +0000 2018,0.797,0.203,0.0,10,@BBC
10,0.0,Thu Jun 07 12:35:49 +0000 2018,1.0,0.0,0.0,11,@BBC
11,0.0,Thu Jun 07 12:35:31 +0000 2018,1.0,0.0,0.0,12,@BBC
12,-0.6523,Thu Jun 07 12:35:16 +0000 2018,0.797,0.203,0.0,13,@BBC
13,-0.1779,Thu Jun 07 12:34:59 +0000 2018,0.723,0.153,0.123,14,@BBC
14,0.0,Thu Jun 07 12:34:47 +0000 2018,1.0,0.0,0.0,15,@BBC
15,-0.5994,Thu Jun 07 12:34:21 +0000 2018,0.843,0.157,0.0,16,@BBC
16,0.0,Thu Jun 07 12:32:52 +0000 2018,1.0,0.0,0.0,17,@BBC
17,0.0,Thu Jun 07 12:32:39 +0000 2018,1.0,0.0,0.0,18,@BBC
18,-0.4939,Thu Jun 07 12:31:06 +0000 2018,0.868,0.132,0.0,19,@BBC
19,0.0,Thu Jun 07 12:31:04 +0000 2018,1.0,0.0,0.0,20,@BBC
20,-0.5574,Thu Jun 07 12:30:53 +0000 2018,0.693,0.218,0.089,21,@BBC
21,-0.6523,Thu Jun 07 12:30:36 +0000 2018,0.797,0.203,0.0,22,@BBC
22,0.34,Thu Jun 07 12:27:27 +0000 2018,0.897,0.0,0.103,23,@BBC
23,-0.5216,Thu Jun 07 12:26:20 +0000 2018,0.806,0.194,0.0,24,@BBC
24,0.4588,Thu Jun 07 12:26:20 +0000 2018,0.87,0.0,0.13,25,@BBC
25,0.0,Thu Jun 07 12:24:50 +0000 2018,1.0,0.0,0.0,26,@BBC
26,-0.6523,Thu Jun 07 12:23:35 +0000 2018,0.797,0.203,0.0,27,@BBC
27,0.0,Thu Jun 07 12:23:12 +0000 2018,1.0,0.0,0.0,28,@BBC
28,0.0,Thu Jun 07 12:22:16 +0000 2018,1.0,0.0,0.0,29,@BBC
29,0.0,Thu Jun 07 12:21:32 +0000 2018,1.0,0.0,0.0,30,@BBC
30,0.7003,Thu Jun 07 12:21:09 +0000 2018,0.799,0.0,0.201,31,@BBC
31,0.0,Thu Jun 07 12:20:39 +0000 2018,1.0,0.0,0.0,32,@BBC
32,-0.3182,Thu Jun 07 12:42:48 +0000 2018,0.881,0.119,0.0,33,@BBC
33,0.0,Thu Jun 07 12:42:21 +0000 2018,1.0,0.0,0.0,34,@BBC
34,-0.6523,Thu Jun 07 12:42:04 +0000 2018,0.797,0.203,0.0,35,@BBC
35,-0.4767,Thu Jun 07 12:41:54 +0000 2018,0.717,0.195,0.089,36,@BBC
36,0.0,Thu Jun 07 12:41:37 +0000 2018,1.0,0.0,0.0,37,@BBC
37,0.8356,Thu Jun 07 12:40:53 +0000 2018,0.612,0.0,0.388,38,@BBC
38,0.5267,Thu Jun 07 12:39:34 +0000 2018,0.871,0.0,0.129,39,@BBC
39,0.0,Thu Jun 07 12:38:12 +0000 2018,1.0,0.0,0.0,40,@BBC
40,-0.4767,Thu Jun 07 12:37:01 +0000 2018,0.819,0.181,0.0,41,@BBC
41,-0.6523,Thu Jun 07 12:36:32 +0000 2018,0.797,0.203,0.0,42,@BBC
42,0.0,Thu Jun 07 12:35:49 +0000 2018,1.0,0.0,0.0,43,@BBC
43,0.0,Thu Jun 07 12:35:31 +0000 2018,1.0,0.0,0.0,44,@BBC
44,-0.6523,Thu Jun 07 12:35:16 +0000 2018,0.797,0.203,0.0,45,@BBC
45,-0.1779,Thu Jun 07 12:34:59 +0000 2018,0.723,0.153,0.123,46,@BBC
46,0.0,Thu Jun 07 12:34:47 +0000 2018,1.0,0.0,0.0,47,@BBC
47,-0.5994,Thu Jun 07 12:34:21 +0000 2018,0.843,0.157,0.0,48,@BBC
48,0.0,Thu Jun 07 12:32:52 +0000 2018,1.0,0.0,0.0,49,@BBC
49,0.0,Thu Jun 07 12:32:39 +0000 2018,1.0,0.0,0.0,50,@BBC
50,-0.4939,Thu Jun 07 12:31:06 +0000 2018,0.868,0.132,0.0,51,@BBC
51,0.0,Thu Jun 07 12:31:04 +0000 2018,1.0,0.0,0.0,52,@BBC
52,-0.5574,Thu Jun 07 12:30:53 +0000 2018,0.693,0.218,0.089,53,@BBC
53,-0.6523,Thu Jun 07 12:30:36 +0000 2018,0.797,0.203,0.0,54,@BBC
54,0.34,Thu Jun 07 12:27:27 +0000 2018,0.897,0.0,0.103,55,@BBC
55,-0.5216,Thu Jun 07 12:26:20 +0000 2018,0.806,0.194,0.0,56,@BBC
56,0.4588,Thu Jun 07 12:26:20 +0000 2018,0.87,0.0,0.13,57,@BBC
57,0.0,Thu Jun 07 12:24:50 +0000 2018,1.0,0.0,0.0,58,@BBC
58,-0.6523,Thu Jun 07 12:23:35 +0000 2018,0.797,0.203,0.0,59,@BBC
59,0.0,Thu Jun 07 12:23:12 +0000 2018,1.0,0.0,0.0,60,@BBC
60,0.0,Thu Jun 07 12:22:16 +0000 2018,1.0,0.0,0.0,61,@BBC
61,0.0,Thu Jun 07 12:21:32 +0000 2018,1.0,0.0,0.0,62,@BBC
62,0.7003,Thu Jun 07 12:21:09 +0000 2018,0.799,0.0,0.201,63,@BBC
63,0.0,Thu Jun 07 12:20:39 +0000 2018,1.0,0.0,0.0,64,@BBC
